Repetition,Jee2,Jie2,Jei2,Jii2,Jee,Jii,Jei,Jme,Jmi
0,0.0,53.67070081592342,70.5453193761369,0.0,5.850100857410972,54.54840085624238,250.0,196.57322764818196,299.6402746150135
1,0.0,51.1014467810226,70.69545855914731,0.0,6.517790162835201,57.8370960158723,250.0,203.318553550619,328.43616756947335
2,0.0,53.748266603005845,64.39430813171357,0.0,6.198733564091592,58.73195594357536,250.0,176.61680261270567,344.2499231906745
3,0.0,49.19141159022875,67.34905854788603,0.0,6.182385694085932,58.23823788898923,250.0,199.74612606815816,339.85681193149924
4,0.0,55.19985469628869,60.943757803429634,0.0,6.6491687718992285,53.14053158123085,250.0,191.680084668995,315.7229399765114
5,0.0,53.42291203090012,61.03826401820697,0.0,5.915609948108064,49.93975443845254,250.0,182.0762960989434,353.9067475014657
6,0.0,48.59081606147725,64.17484626320409,0.0,6.353011974501555,53.34692612419699,250.0,184.55626747039443,358.41684484791404
7,0.0,49.5080130294191,66.88508153148855,0.0,5.8617677778197885,58.9288646724282,250.0,185.58392749130175,350.09961455206263
8,0.0,56.3193278999541,60.51213003519538,0.0,6.97993823384148,53.4734949977607,250.0,199.90656973872993,352.89788914518596
9,0.0,51.61328129638647,60.278682518241474,0.0,5.918367165778086,51.10933902311384,250.0,199.71943140803617,343.74297638958535
10,0.0,48.04998593067508,61.02646522732866,0.0,6.075258073591854,50.976485576691,250.0,208.197622078601,362.60062656899686
11,0.0,55.961209253775806,69.3497401876641,0.0,6.667646665751407,55.07904790355941,250.0,184.1568156922793,347.0602910402188
12,0.0,49.15267708724282,64.27045840521751,0.0,6.718698868070031,51.036149337626306,250.0,179.07616538136745,320.9270621773474
13,0.0,55.238979386861295,62.35518744702164,0.0,6.100147108630883,60.3147445751287,250.0,190.77028629455197,316.8657927899978
14,0.0,51.43714077144232,72.06485238481615,0.0,5.987444497980654,55.33354031449045,250.0,176.43230547321397,299.20025774517
15,0.0,47.83433138817186,60.06080242362024,0.0,5.8631305825795215,60.3047101026094,250.0,199.469826895649,309.7192896126882
16,0.0,56.10232101886895,67.80933958250377,0.0,6.482497073063638,59.25874834329662,250.0,202.8844639301739,307.41213691847094
17,0.0,53.4521540221255,69.82514763392115,0.0,6.124478376745278,55.743856093883686,250.0,205.61454429896685,342.0997838847778
18,0.0,56.48023660711914,63.586799294614885,0.0,6.983598374661362,56.50498644456736,250.0,176.62941408969317,308.11878118690504
19,0.0,55.67742127650675,63.508975663171675,0.0,6.113006771632049,59.62299027331587,250.0,179.9491920789113,344.62162871574765
20,0.0,55.55513486470041,71.57529532910159,0.0,6.5149784004475215,54.76519341665386,250.0,213.35254708379145,298.6074206575678
21,0.0,52.53058877456476,59.7626430099383,0.0,6.114165093677328,58.03548895297483,250.0,181.468790517403,334.8317919196957
